"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"clean$gestation",1,65449.5131340184,65449.5131340184,261.429207373395,3.21379843631052e-53
"clean$height",1,12126.1267807185,12126.1267807185,48.4361695143737,5.67555412404581e-12
"clean$weight",1,2384.26383039795,2384.26383039795,9.52361864134344,0.0020761700597345
"clean$parity",1,2189.01381857583,2189.01381857583,8.74371893871645,0.00316916132932204
"clean$smoke",1,19496.9564997304,19496.9564997304,77.8779495804803,3.92360565174013e-18
"Residuals",1168,292411.976873527,250.352719925964,NA,NA
